samples_per_class,total_samples,model,accuracy,precision,recall,f1_score,roc_auc,training_time_sec,prediction_time_sec
15,30,Classical SVM,1.0,1.0,1.0,1.0,1.0,0.007734099985100329,0.0011616999981924891
15,30,Quantum QSVC,0.5,0.5,0.6666666666666666,0.5714285714285714,0.22222222222222224,1.5592732999939471,0.4379861999768764
25,50,Classical SVM,1.0,1.0,1.0,1.0,1.0,0.0037267999723553658,0.0006688999710604548
25,50,Quantum QSVC,0.7,0.625,1.0,0.7692307692307693,1.0,2.773031499935314,1.5754043000051752
50,100,Classical SVM,0.95,1.0,0.9,0.9473684210526315,0.9800000000000001,0.003595000016503036,0.0005379000212997198
50,100,Quantum QSVC,0.8,0.875,0.7,0.7777777777777778,0.88,11.693475600099191,6.626574699999765
75,150,Classical SVM,0.9,1.0,0.8,0.8888888888888888,0.9288888888888889,0.005199600011110306,0.0008515999652445316
75,150,Quantum QSVC,0.7666666666666667,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.8088888888888889,28.421873199986294,14.735015999991447
100,200,Classical SVM,0.925,1.0,0.85,0.918918918918919,0.9225000000000001,0.007282000035047531,0.0006157000316306949
100,200,Quantum QSVC,0.7,0.7,0.7,0.7,0.7324999999999999,42.942254499997944,21.670444300048985
